feature,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12
gene_001,6.92,7.61,6.30,7.12,7.54,7.68,7.78,6.92,7.08,7.34,6.41,7.72
gene_002,4.65,4.69,,,4.63,4.66,4.39,4.57,4.54,4.58,,4.83
gene_003,11.89,11.24,11.68,10.85,11.84,11.75,12.52,11.50,11.70,12.27,11.18,12.47
gene_004,10.01,10.02,9.41,9.88,10.68,9.98,9.76,10.13,10.01,9.96,9.17,10.05
gene_005,9.79,9.70,8.58,8.79,10.04,9.80,9.10,9.15,9.52,9.19,8.86,9.26
gene_006,7.77,6.86,6.36,7.31,7.09,7.32,7.05,7.11,7.83,7.41,7.05,7.20
gene_007,9.90,10.61,9.58,10.07,10.68,10.43,9.76,9.65,9.44,9.95,9.66,9.98
gene_008,8.41,8.23,8.10,7.99,8.38,7.89,8.54,8.63,8.64,8.17,7.59,8.59
gene_009,8.60,10.77,9.70,8.68,9.67,10.70,9.84,8.44,10.70,8.79,10.40,8.69
gene_010,12.10,11.80,11.21,11.07,11.59,12.30,11.43,12.07,11.93,12.37,10.61,11.70
gene_011,7.44,7.82,7.33,7.32,8.35,7.32,7.02,7.36,7.92,7.74,7.15,7.67
gene_012,,,,,,,,,,,,
gene_013,8.64,8.63,8.16,8.00,8.39,9.27,9.13,8.17,8.86,7.97,7.84,9.07
gene_014,10.75,11.83,11.04,12.14,12.38,11.88,11.14,11.49,11.77,12.62,11.40,11.37
gene_015,10.52,9.70,9.19,9.53,10.61,10.10,10.45,9.50,10.45,10.24,9.61,10.03
gene_016,9.82,10.12,9.98,9.89,10.15,9.38,9.50,10.21,10.65,8.99,9.71,10.37
gene_017,7.46,8.33,7.17,7.90,7.66,8.54,8.20,8.33,7.83,7.62,7.03,8.10
gene_018,11.71,9.83,9.43,11.40,11.98,9.73,9.64,12.01,10.24,11.48,9.50,11.79
gene_019,8.75,8.37,8.56,7.35,9.24,8.94,8.43,7.40,8.94,8.90,8.40,8.09
gene_020,11.81,11.35,10.69,10.79,11.37,11.76,11.47,11.65,11.44,11.68,11.05,10.98
gene_021,8.51,8.74,8.24,8.43,8.67,8.90,8.04,9.01,9.21,8.38,8.02,8.71
gene_022,8.71,9.22,7.65,8.36,9.36,8.91,8.90,8.35,9.09,8.48,8.45,8.91
gene_023,7.06,9.96,9.34,6.67,7.91,10.02,9.30,6.53,9.75,6.93,9.51,7.27
gene_024,8.61,7.96,7.42,7.39,8.42,8.09,8.00,7.55,7.58,7.85,7.97,8.17
gene_025,9.75,8.75,8.85,9.52,9.96,9.27,9.15,9.16,9.83,9.31,8.79,9.17
gene_026,4.61,,,,,4.08,,,,,,4.01
gene_027,11.07,9.19,9.02,10.76,10.82,9.40,9.48,11.36,8.73,10.87,8.39,10.67
gene_028,10.67,10.99,11.13,11.06,11.83,11.24,10.89,11.28,11.61,10.04,11.18,11.39
gene_029,7.40,9.45,9.15,7.53,8.08,10.45,9.73,8.08,10.07,7.34,9.16,8.02
gene_030,10.91,11.34,10.62,10.87,11.18,10.68,10.90,10.85,11.00,10.79,9.98,11.34
gene_031,4.23,,,4.24,4.79,,,4.43,,,4.26,4.64
gene_032,9.41,9.63,9.14,9.10,9.50,10.01,9.62,9.07,10.12,9.82,9.46,9.80
gene_033,10.97,10.27,11.60,10.48,11.88,11.12,11.53,10.83,11.35,11.01,11.09,10.39
gene_034,10.28,10.42,9.09,10.95,10.62,10.15,9.27,10.04,10.22,10.57,10.03,10.93
gene_035,6.46,6.28,6.63,6.15,6.82,6.72,7.06,6.62,6.59,7.35,6.12,6.89
gene_036,10.18,10.68,9.76,9.93,10.36,10.11,10.67,10.74,10.40,9.75,9.99,10.55
gene_037,12.87,11.49,9.72,12.22,12.69,10.95,10.51,11.72,10.28,12.15,10.42,13.08
gene_038,6.92,7.27,6.73,7.41,7.20,7.24,7.10,7.29,7.65,7.18,6.00,7.47
gene_039,4.15,4.17,,,4.50,4.71,4.49,4.58,4.80,,,4.24
gene_040,,,,,,,,,,,,
gene_041,12.39,12.08,10.51,10.98,12.48,11.26,11.78,11.56,11.13,11.64,11.33,12.17
gene_042,11.43,10.30,11.23,10.79,11.59,11.18,11.25,11.02,11.21,11.69,10.67,11.43
gene_043,8.24,8.42,7.72,7.97,8.29,7.44,7.84,8.72,7.84,8.03,7.68,7.46
gene_044,9.51,10.65,10.11,8.64,8.48,10.57,10.62,8.79,11.17,9.13,10.64,8.70
gene_045,4.29,,,4.13,4.40,4.25,4.30,,4.64,,,4.39
gene_046,4.22,4.42,4.55,,4.43,4.21,4.36,4.48,4.02,4.93,,4.48
gene_047,7.45,7.15,7.57,7.24,8.42,7.51,7.33,7.62,7.76,7.25,6.31,7.77
gene_048,7.40,7.44,6.81,7.01,7.15,6.40,7.44,7.34,8.47,7.35,7.21,7.49
gene_049,9.78,10.20,10.49,10.39,10.78,10.86,10.00,10.45,10.55,10.82,10.37,9.74
gene_050,4.29,,,4.11,4.91,,4.73,4.30,4.93,4.49,4.04,4.90
gene_051,10.48,10.26,9.87,10.29,10.77,10.71,10.27,10.59,11.41,10.30,9.82,10.67
gene_052,6.93,9.76,8.53,6.33,7.74,9.58,9.70,7.05,9.32,7.14,8.22,7.79
gene_053,7.93,8.20,7.58,8.16,7.94,7.78,7.59,7.78,8.22,7.83,7.24,8.65
gene_054,7.54,8.55,8.02,7.52,9.19,8.16,8.41,8.42,8.12,8.29,7.58,8.32
gene_055,9.56,9.58,8.54,9.07,9.92,8.88,9.36,9.26,9.35,9.74,9.30,8.80
gene_056,8.70,8.82,8.41,8.93,9.16,9.38,8.40,8.62,9.17,9.08,8.81,9.17
gene_057,9.58,9.12,9.28,9.47,10.34,9.31,9.51,9.74,10.12,9.69,9.53,9.91
gene_058,4.79,,,4.35,4.87,,4.31,,,4.69,,4.41
gene_059,11.31,10.12,11.02,10.90,10.69,11.16,11.11,11.26,11.66,11.62,11.32,10.85
gene_060,6.41,6.87,6.38,5.52,7.35,6.80,7.56,6.75,6.94,7.50,6.08,7.17
gene_061,,,,,,,,,,,,
gene_062,10.41,10.32,9.23,9.34,11.03,10.40,11.06,9.80,10.98,10.00,9.10,10.11
gene_063,10.19,10.10,9.64,9.79,10.95,10.54,10.36,10.59,10.54,9.85,9.91,10.76
gene_064,,4.03,,,4.15,4.14,,,,,,
gene_065,7.61,6.35,6.48,6.71,8.03,7.12,8.59,6.00,7.08,6.91,5.74,6.64
gene_066,4.63,4.09,,,4.54,,,,4.73,4.76,,
gene_067,,,,,,,,,,,,
gene_068,8.25,8.36,7.99,8.22,9.98,8.44,9.08,8.38,8.73,7.66,8.63,9.26
gene_069,9.83,9.55,8.78,9.20,10.33,9.42,9.90,9.35,9.45,9.29,8.69,10.02
gene_070,10.47,10.08,10.04,9.90,10.29,9.88,10.20,10.72,10.29,10.36,10.11,10.29
gene_071,12.63,11.59,11.36,11.46,12.47,12.15,11.83,11.67,12.03,11.58,11.27,11.93
gene_072,11.35,10.69,10.62,10.86,10.83,10.86,11.33,11.56,11.18,10.87,10.14,10.85
gene_073,10.68,10.27,9.88,9.72,9.66,10.67,10.13,9.74,10.57,9.97,8.96,10.85
gene_074,10.97,11.49,10.70,11.04,12.06,10.88,10.33,11.05,11.00,10.38,10.51,11.52
gene_075,10.29,9.63,9.75,9.31,10.58,10.18,9.49,10.09,10.32,10.66,9.52,9.87
gene_076,9.25,9.77,8.43,8.78,9.51,9.47,9.37,9.09,9.03,9.04,8.80,8.99
gene_077,7.88,9.03,7.56,7.89,10.31,7.91,8.64,7.35,8.90,9.09,7.80,8.79
gene_078,7.45,6.72,6.82,6.99,7.25,6.98,7.42,7.86,7.82,6.94,6.66,7.53
gene_079,7.07,9.83,9.54,6.90,7.38,9.21,9.32,7.26,9.59,6.86,8.47,6.74
gene_080,13.61,11.39,11.19,12.91,13.51,11.76,11.42,13.83,11.59,13.41,11.13,13.57
gene_081,8.92,8.74,7.97,7.32,8.21,8.11,8.37,8.20,8.45,8.10,8.48,8.38
gene_082,,4.10,,,4.34,,,,4.05,4.06,,
gene_083,7.27,7.81,7.54,8.06,7.70,7.54,7.05,7.32,8.28,7.26,6.79,8.49
gene_084,10.86,10.65,10.09,10.34,9.93,10.51,11.15,10.59,11.17,10.54,9.69,10.03
gene_085,9.28,11.71,11.35,9.43,9.45,11.52,11.80,9.06,11.69,8.75,11.51,9.25
gene_086,8.69,8.12,8.17,7.91,8.41,8.34,7.88,8.37,8.35,8.09,7.53,8.39
gene_087,10.91,10.04,10.36,9.71,10.53,10.08,10.47,10.03,10.41,9.83,9.81,10.32
gene_088,,,,,,,,,,,,
gene_089,10.77,10.03,9.46,9.33,10.46,10.24,9.74,10.07,10.29,9.94,9.55,10.33
gene_090,10.90,10.96,11.01,10.84,11.69,9.81,11.27,10.60,11.35,11.25,11.21,11.29
gene_091,9.55,12.01,11.73,8.41,10.79,11.50,11.89,10.60,12.75,9.93,12.13,9.78
gene_092,13.85,12.09,10.87,13.39,14.14,12.19,12.17,13.96,12.79,14.43,10.79,14.32
gene_093,11.00,11.02,11.77,10.21,11.19,10.92,12.23,11.19,11.40,10.93,10.81,11.88
gene_094,8.12,8.96,7.68,7.83,8.44,8.27,8.46,8.41,9.02,8.11,7.53,9.19
gene_095,4.72,4.32,4.27,,,,,4.01,4.31,,,4.85
gene_096,10.35,10.25,10.70,11.07,11.58,11.30,11.35,10.73,11.29,11.37,10.77,10.23
gene_097,4.30,4.18,4.09,4.18,4.19,4.77,4.33,4.08,4.89,4.76,,4.24
gene_098,11.56,10.98,11.18,10.90,10.90,12.03,10.76,11.28,11.45,11.71,11.97,11.84
gene_099,7.43,7.63,6.75,7.13,8.04,7.47,7.53,6.99,7.81,7.83,7.21,7.46
gene_100,8.39,8.54,7.41,7.20,8.15,7.84,8.76,8.34,8.50,7.97,7.98,8.66
gene_101,4.51,4.64,,4.01,4.67,,4.20,4.29,4.20,,,
gene_102,4.36,4.99,,,4.17,4.34,4.01,4.37,5.23,4.10,,4.17
gene_103,7.67,7.72,7.83,8.28,7.97,7.44,8.46,9.11,8.07,8.50,7.66,7.68
gene_104,11.47,11.63,11.25,11.08,12.08,11.67,11.88,11.53,11.70,11.42,11.56,12.07
gene_105,11.28,9.70,10.00,10.57,10.56,10.02,10.06,10.13,9.51,11.21,9.56,10.39
gene_106,8.10,6.94,6.82,7.34,7.58,7.24,7.48,7.80,7.73,7.48,6.56,7.45
gene_107,9.50,9.40,8.83,8.83,9.50,9.33,9.69,9.73,9.72,9.66,8.91,9.53
gene_108,11.42,11.90,11.53,11.59,12.01,11.94,11.95,11.98,11.79,12.63,11.93,11.59
gene_109,10.49,9.59,10.46,10.45,10.90,9.84,9.83,10.06,12.09,10.33,9.72,10.90
gene_110,,,,,,,,,,,,
gene_111,9.03,9.12,9.17,8.84,9.32,9.02,9.11,9.46,9.86,9.80,9.15,9.32
gene_112,8.86,8.88,8.04,7.85,8.57,8.73,8.67,8.11,8.94,8.32,7.87,9.12
gene_113,8.63,8.31,7.53,8.04,8.19,8.14,8.11,8.47,9.08,7.87,8.34,8.96
gene_114,7.40,7.55,7.35,7.37,7.82,7.64,7.43,6.92,7.50,7.33,7.00,7.50
gene_115,,,,,4.10,4.43,5.16,,4.33,,,4.28
gene_116,,,,,,,,,,,,
gene_117,9.96,9.44,9.36,9.48,10.39,9.55,10.02,9.94,10.27,10.21,9.83,10.12
gene_118,6.53,7.63,6.17,6.56,7.38,7.73,6.97,7.25,7.28,7.71,7.24,6.68
gene_119,11.29,11.31,9.95,10.41,10.89,11.56,11.77,10.71,11.50,10.77,11.62,11.83
gene_120,8.56,8.52,8.80,8.57,8.93,9.12,8.55,8.54,8.52,8.97,8.80,9.29
gene_121,9.34,11.07,10.76,9.09,9.81,10.90,11.14,9.16,11.60,9.66,11.01,9.47
gene_122,11.33,10.75,10.59,11.04,11.76,11.17,11.39,11.72,11.34,11.48,11.32,11.35
gene_123,,4.18,4.61,4.35,5.23,4.00,,4.10,4.60,4.79,4.22,
gene_124,9.73,9.28,9.05,9.19,9.52,10.01,9.51,9.41,9.81,9.05,8.85,10.60
gene_125,11.26,10.86,10.48,10.68,11.46,10.96,10.36,11.01,11.93,11.05,10.01,11.62
gene_126,8.26,8.92,8.46,8.32,8.66,8.53,8.48,8.29,8.72,7.87,8.41,9.03
gene_127,7.54,7.43,6.77,6.19,8.05,7.17,7.26,6.84,7.80,7.22,7.08,7.10
gene_128,,,,,,,,,,,,
gene_129,11.85,11.10,10.08,12.12,11.71,10.77,10.54,12.23,11.18,12.16,10.67,12.17
gene_130,4.55,4.41,4.35,,4.50,4.53,4.65,4.21,4.91,4.23,4.36,4.68
gene_131,,,,,4.04,,,,4.36,,,
gene_132,7.89,7.49,7.47,7.20,8.28,6.97,7.37,7.16,7.80,7.82,7.11,7.57
gene_133,,,,,,,,,,,,
gene_134,11.40,11.46,10.19,10.57,11.59,10.98,11.05,11.64,11.23,11.12,10.42,11.12
gene_135,8.74,9.33,9.06,8.48,8.96,8.68,8.83,8.81,9.49,9.39,7.87,8.81
gene_136,4.30,4.40,,,4.21,4.11,4.64,,4.69,4.23,,
gene_137,12.18,11.68,11.43,11.50,12.16,11.98,11.41,11.81,12.00,11.44,10.59,11.69
gene_138,8.15,8.17,7.97,8.09,7.43,7.55,9.31,8.25,7.94,8.53,7.54,8.34
gene_139,8.90,7.68,8.26,9.52,9.23,8.52,9.01,8.56,7.87,8.43,7.75,8.77
gene_140,11.95,9.49,8.89,11.72,12.37,9.28,9.39,11.96,9.67,12.11,9.51,12.10
gene_141,,,,,4.54,,,,,,,
gene_142,7.99,8.09,7.47,7.57,8.11,8.03,8.07,7.49,8.37,8.05,7.42,7.66
gene_143,10.92,10.86,10.01,10.26,10.70,10.96,10.85,10.47,10.80,10.50,10.35,11.64
gene_144,9.38,11.01,10.21,8.30,9.59,10.60,10.47,9.24,11.28,9.00,10.16,9.62
gene_145,11.52,11.43,10.68,10.73,12.32,11.44,10.81,11.42,11.38,11.12,10.68,12.29
gene_146,8.49,8.66,8.61,8.17,8.64,8.05,8.46,8.01,8.53,8.12,7.31,7.87
gene_147,,4.17,4.15,,4.59,,,,,,,
gene_148,10.38,10.13,10.06,9.88,11.04,10.02,10.79,10.21,9.85,10.43,9.13,10.40
gene_149,8.54,8.07,7.87,8.04,7.88,8.07,7.58,8.44,8.63,9.05,8.61,9.14
gene_150,9.30,8.48,8.36,8.90,9.32,9.76,8.79,9.07,9.24,9.68,9.12,9.49
gene_151,11.08,10.83,10.19,10.80,11.63,11.12,11.16,10.47,11.10,10.71,10.36,11.40
gene_152,6.70,7.29,7.11,7.66,7.60,7.80,7.86,7.27,7.69,6.47,7.12,7.61
gene_153,10.74,10.28,10.08,9.94,10.81,10.12,10.05,10.45,10.56,10.20,9.90,10.47
gene_154,9.37,9.39,9.12,9.20,9.70,9.03,9.57,9.25,10.43,10.09,9.62,9.35
gene_155,5.06,4.14,4.40,4.19,4.80,4.28,4.34,4.36,4.56,4.46,4.12,4.30
gene_156,7.34,8.22,6.80,7.57,7.85,7.45,7.63,7.48,8.13,7.69,6.74,7.16
gene_157,11.81,9.18,9.43,11.57,11.90,8.50,9.14,11.72,9.37,10.93,8.86,12.17
gene_158,14.16,11.88,12.03,13.50,14.83,12.07,11.84,13.86,12.42,13.34,11.29,14.19
gene_159,10.93,11.10,9.83,10.09,11.28,10.57,11.17,11.20,12.01,10.96,10.45,11.02
gene_160,12.06,12.23,11.74,11.46,12.27,12.60,12.05,11.79,11.91,12.02,12.01,11.46
gene_161,,,,,,,,,,,,
gene_162,11.10,9.89,10.10,9.99,10.17,9.63,10.46,8.84,10.94,9.93,9.16,9.78
gene_163,7.31,8.67,7.88,8.01,7.91,8.31,8.51,8.22,7.70,8.13,7.63,8.38
gene_164,8.33,8.36,7.59,7.14,8.12,7.55,8.54,8.00,8.40,8.21,7.61,8.32
gene_165,10.05,9.69,9.40,9.79,10.30,9.11,10.62,9.22,10.17,9.54,8.85,9.41
gene_166,8.22,7.81,7.39,7.48,7.88,7.98,7.99,7.90,8.00,7.66,7.40,7.28
gene_167,10.07,10.82,9.88,10.39,10.75,10.24,10.21,10.32,10.69,9.89,9.93,9.82
gene_168,9.95,9.85,9.50,9.76,10.61,9.36,10.17,10.22,9.31,9.12,9.30,9.46
gene_169,9.88,9.77,9.20,9.25,10.18,9.58,9.59,10.37,9.67,9.82,9.10,9.45
gene_170,,,,,,,,,,,,
gene_171,11.56,11.43,10.32,10.68,12.17,10.93,11.34,11.43,11.47,11.38,11.09,11.82
gene_172,,,,,,,,,,,,
gene_173,8.27,8.70,8.55,8.57,8.91,9.54,9.53,9.08,9.09,8.80,8.39,9.17
gene_174,7.00,7.62,6.79,6.49,8.32,6.92,7.84,7.36,7.42,6.90,7.22,7.17
gene_175,,,,,,,,,,,,
gene_176,8.30,8.75,8.91,9.37,10.03,9.74,8.49,9.81,8.81,9.04,9.55,9.81
gene_177,8.73,8.47,8.06,8.28,8.99,8.08,8.68,8.39,9.28,8.11,7.92,8.71
gene_178,10.08,10.07,9.22,9.97,10.35,10.25,9.94,9.49,10.07,10.11,10.42,10.98
gene_179,4.87,4.48,4.13,4.67,4.38,4.69,5.04,,4.11,4.70,4.73,4.77
gene_180,8.61,8.03,9.00,8.50,8.93,8.93,8.46,8.97,9.02,8.14,7.77,9.30
gene_181,8.30,6.99,7.76,7.81,8.28,7.58,8.15,7.56,7.34,7.90,6.47,8.18
gene_182,8.93,9.31,8.86,8.54,9.06,8.54,8.28,8.54,8.67,9.65,8.58,9.18
gene_183,,,,,,,,,,,,
gene_184,11.68,11.20,10.17,11.30,11.74,11.67,11.41,11.76,11.20,11.43,11.04,11.35
gene_185,12.02,12.71,11.60,11.70,12.13,12.15,11.80,11.64,12.12,11.37,11.66,12.29
gene_186,11.93,10.29,9.63,11.55,12.13,10.17,9.89,11.31,10.43,12.08,10.31,11.78
gene_187,10.25,10.14,9.64,9.86,10.51,9.94,10.30,9.93,10.25,9.95,9.71,10.05
gene_188,,,,,,,,,,,,
gene_189,10.68,11.62,10.63,10.21,10.63,10.28,10.28,10.12,10.16,9.79,8.73,10.71
gene_190,8.58,8.75,8.16,7.36,8.88,8.70,7.46,8.52,8.69,8.16,7.85,8.96
gene_191,,,,,4.03,,,,,,,
gene_192,7.94,8.34,7.19,7.92,8.03,8.25,7.95,8.34,8.37,8.12,7.75,9.23
gene_193,9.90,9.99,9.59,10.59,10.93,10.63,9.95,9.50,10.76,10.16,10.12,9.40
gene_194,8.28,8.29,8.04,8.32,8.40,8.60,8.50,8.11,8.35,8.26,7.62,8.94
gene_195,7.00,6.61,6.63,6.78,8.06,7.12,6.67,7.08,7.35,7.32,6.21,6.83
gene_196,7.26,6.65,6.86,6.76,7.65,7.25,7.85,7.34,7.38,6.93,6.85,7.34
gene_197,7.62,8.50,7.19,6.99,8.23,7.91,7.38,8.37,8.15,7.79,8.16,7.33
gene_198,8.19,8.28,8.17,7.70,8.79,8.32,8.76,8.29,8.22,7.99,8.04,8.43
gene_199,7.66,7.20,7.51,6.27,8.08,6.87,7.79,6.55,7.10,6.57,7.33,7.19
gene_200,11.91,11.77,12.21,12.38,12.04,11.68,12.16,11.63,12.27,12.12,12.52,12.32
