feature,effect,p,p_adj
gene_001,0.0783333,0.745489,0.939485
gene_003,0.0866667,0.763699,0.939937
gene_004,0.355,0.00452967,0.0345118
gene_005,0.0716667,0.677391,0.919708
gene_006,0.198333,0.373231,0.781182
gene_007,0.0866667,0.691761,0.921595
gene_008,0.158333,0.407758,0.786039
gene_009,-1.57833,1.89596e-05,0.000216681
gene_010,0.231667,0.390524,0.781182
gene_011,0.181667,0.217571,0.682574
gene_013,-0.313333,0.226165,0.682762
gene_014,0.243333,0.441429,0.830926
gene_015,0.116667,0.530679,0.884465
gene_016,-0.0233333,0.939881,0.978508
gene_017,-0.0433333,0.881735,0.972431
gene_018,1.96167,1.46651e-06,3.9107e-05
gene_019,-0.356667,0.198515,0.648213
gene_020,0.0483333,0.810831,0.940094
gene_021,0.055,0.796335,0.940094
gene_022,-0.0466667,0.802911,0.940094
gene_023,-2.62333,1.08421e-08,1.73474e-06
gene_024,0.123333,0.537987,0.887401
gene_025,0.333333,0.0675152,0.385801
gene_027,1.85167,1.15255e-05,0.000141852
gene_028,-0.166667,0.576788,0.904765
gene_029,-1.965,6.32487e-06,9.56223e-05
gene_030,0.198333,0.254925,0.703242
gene_032,-0.251667,0.107822,0.466259
gene_033,-0.271667,0.364507,0.781182
gene_034,0.663333,0.0301601,0.20981
gene_035,0.11,0.59509,0.915522
gene_036,-0.055,0.809593,0.940094
gene_037,1.855,6.55346e-05,0.00058253
gene_038,0.208333,0.353432,0.781182
gene_041,0.483333,0.0907546,0.414878
gene_042,0.313333,0.167499,0.582606
gene_043,0.256667,0.325274,0.76984
gene_044,-1.79,5.28008e-05,0.000496949
gene_047,0.315,0.176586,0.58862
gene_048,-0.0433333,0.882197,0.972431
gene_049,-0.123333,0.624236,0.919708
gene_051,0.0883333,0.656586,0.919708
gene_052,-2.06,9.38841e-06,0.000125179
gene_053,0.241667,0.269251,0.720255
gene_054,0.035,0.878834,0.972431
gene_055,0.185,0.331372,0.76984
gene_056,0.0733333,0.675886,0.919708
gene_057,0.271667,0.138207,0.505151
gene_059,0.00166667,0.995795,0.995795
gene_060,-0.0266667,0.927212,0.977075
gene_062,-0.105,0.72674,0.936105
gene_063,0.135,0.510309,0.870454
gene_065,0.0516667,0.904729,0.977075
gene_068,0.0483333,0.887343,0.972431
gene_069,0.333333,0.0870738,0.409759
gene_070,0.2,0.297916,0.756961
gene_071,0.213333,0.250717,0.703242
gene_072,0.211667,0.386677,0.781182
gene_073,-0.015,0.9609,0.981011
gene_074,0.313333,0.241643,0.692824
gene_075,0.28,0.156783,0.557449
gene_076,-0.0733333,0.652652,0.919708
gene_077,0.206667,0.611055,0.919708
gene_078,0.228333,0.372819,0.781182
gene_079,-2.33,5.5404e-07,2.71619e-05
gene_080,2.02167,6.57404e-06,9.56223e-05
gene_081,-0.203333,0.398098,0.781182
gene_083,0.143333,0.640556,0.919708
gene_084,-0.2,0.467213,0.856868
gene_085,-2.43167,1.00775e-06,3.22479e-05
gene_086,0.206667,0.222256,0.682762
gene_087,-0.0116667,0.953962,0.981011
