feature,shifted,true_shift,low_signal
gene_001,False,0.0,False
gene_002,False,0.0,True
gene_003,False,0.0,False
gene_004,False,0.0,False
gene_005,False,0.0,False
gene_006,False,0.0,False
gene_007,False,0.0,False
gene_008,False,0.0,False
gene_009,True,-1.661,False
gene_010,False,0.0,False
gene_011,False,0.0,False
gene_012,False,0.0,True
gene_013,False,0.0,False
gene_014,False,0.0,False
gene_015,False,0.0,False
gene_016,False,0.0,False
gene_017,False,0.0,False
gene_018,True,1.912,False
gene_019,False,0.0,False
gene_020,False,0.0,False
gene_021,False,0.0,False
gene_022,False,0.0,False
gene_023,True,-2.458,False
gene_024,False,0.0,False
gene_025,False,0.0,False
gene_026,False,0.0,True
gene_027,True,1.77,False
gene_028,False,0.0,False
gene_029,True,-1.912,False
gene_030,False,0.0,False
gene_031,False,0.0,True
gene_032,False,0.0,False
gene_033,False,0.0,False
gene_034,False,0.0,False
gene_035,False,0.0,False
gene_036,False,0.0,False
gene_037,True,1.803,False
gene_038,False,0.0,False
gene_039,False,0.0,True
gene_040,False,0.0,True
gene_041,False,0.0,False
gene_042,False,0.0,False
gene_043,False,0.0,False
gene_044,True,-1.803,False
gene_045,False,0.0,True
gene_046,False,0.0,True
gene_047,False,0.0,False
gene_048,False,0.0,False
gene_049,False,0.0,False
gene_050,False,0.0,True
gene_051,False,0.0,False
gene_052,True,-1.77,False
gene_053,False,0.0,False
gene_054,False,0.0,False
gene_055,False,0.0,False
gene_056,False,0.0,False
gene_057,False,0.0,False
gene_058,False,0.0,True
gene_059,False,0.0,False
gene_060,False,0.0,False
gene_061,False,0.0,True
gene_062,False,0.0,False
gene_063,False,0.0,False
gene_064,False,0.0,True
gene_065,False,0.0,False
gene_066,False,0.0,True
gene_067,False,0.0,True
gene_068,False,0.0,False
gene_069,False,0.0,False
gene_070,False,0.0,False
gene_071,False,0.0,False
gene_072,False,0.0,False
gene_073,False,0.0,False
gene_074,False,0.0,False
gene_075,False,0.0,False
gene_076,False,0.0,False
gene_077,False,0.0,False
gene_078,False,0.0,False
gene_079,True,-2.365,False
gene_080,True,2.016,False
gene_081,False,0.0,False
gene_082,False,0.0,True
gene_083,False,0.0,False
gene_084,False,0.0,False
gene_085,True,-2.252,False
gene_086,False,0.0,False
gene_087,False,0.0,False
gene_088,False,0.0,True
gene_089,False,0.0,False
gene_090,False,0.0,False
gene_091,True,-2.275,False
gene_092,True,2.275,False
gene_093,False,0.0,False
gene_094,False,0.0,False
gene_095,False,0.0,True
gene_096,False,0.0,False
gene_097,False,0.0,True
gene_098,False,0.0,False
gene_099,False,0.0,False
gene_100,False,0.0,False
gene_101,False,0.0,True
gene_102,False,0.0,True
gene_103,False,0.0,False
gene_104,False,0.0,False
gene_105,False,0.0,False
gene_106,False,0.0,False
gene_107,False,0.0,False
gene_108,False,0.0,False
gene_109,False,0.0,False
gene_110,False,0.0,True
gene_111,False,0.0,False
gene_112,False,0.0,False
gene_113,False,0.0,False
gene_114,False,0.0,False
gene_115,False,0.0,True
gene_116,False,0.0,True
gene_117,False,0.0,False
gene_118,False,0.0,False
gene_119,False,0.0,False
gene_120,False,0.0,False
gene_121,True,-2.016,False
gene_122,False,0.0,False
gene_123,False,0.0,True
gene_124,False,0.0,False
gene_125,False,0.0,False
gene_126,False,0.0,False
gene_127,False,0.0,False
gene_128,False,0.0,True
gene_129,True,1.622,False
gene_130,False,0.0,True
gene_131,False,0.0,True
gene_132,False,0.0,False
gene_133,False,0.0,True
gene_134,False,0.0,False
gene_135,False,0.0,False
gene_136,False,0.0,True
gene_137,False,0.0,False
gene_138,False,0.0,False
gene_139,False,0.0,False
gene_140,True,2.458,False
gene_141,False,0.0,True
gene_142,False,0.0,False
gene_143,False,0.0,False
gene_144,True,-1.622,False
gene_145,False,0.0,False
gene_146,False,0.0,False
gene_147,False,0.0,True
gene_148,False,0.0,False
gene_149,False,0.0,False
gene_150,False,0.0,False
gene_151,False,0.0,False
gene_152,False,0.0,False
gene_153,False,0.0,False
gene_154,False,0.0,False
gene_155,False,0.0,True
gene_156,False,0.0,False
gene_157,True,2.365,False
gene_158,True,2.252,False
gene_159,False,0.0,False
gene_160,False,0.0,False
gene_161,False,0.0,True
gene_162,False,0.0,False
gene_163,False,0.0,False
gene_164,False,0.0,False
gene_165,False,0.0,False
gene_166,False,0.0,False
gene_167,False,0.0,False
gene_168,False,0.0,False
gene_169,False,0.0,False
gene_170,False,0.0,True
gene_171,False,0.0,False
gene_172,False,0.0,True
gene_173,False,0.0,False
gene_174,False,0.0,False
gene_175,False,0.0,True
gene_176,False,0.0,False
gene_177,False,0.0,False
gene_178,False,0.0,False
gene_179,False,0.0,True
gene_180,False,0.0,False
gene_181,False,0.0,False
gene_182,False,0.0,False
gene_183,False,0.0,True
gene_184,False,0.0,False
gene_185,False,0.0,False
gene_186,True,1.661,False
gene_187,False,0.0,False
gene_188,False,0.0,True
gene_189,False,0.0,False
gene_190,False,0.0,False
gene_191,False,0.0,True
gene_192,False,0.0,False
gene_193,False,0.0,False
gene_194,False,0.0,False
gene_195,False,0.0,False
gene_196,False,0.0,False
gene_197,False,0.0,False
gene_198,False,0.0,False
gene_199,False,0.0,False
gene_200,False,0.0,False
